Time,CPU usage(%),Total CPU cores,Memory usage,Total memory,IO/sec in,IO/sec out,Network IO in,Network IO in,Swap total,Swap used
18:59:10,0.6,1,549108,1877,0,0,0,0,4031,1696
18:59:20,0.4,1,548568,1877,0,0,1,0,4031,1696
18:59:30,0.3,1,547772,1877,0,0,0,0,4031,1696
18:59:40,0.3,1,546856,1877,48,0,0,0,4031,1696
18:59:50,0.4,1,546056,1877,0,0,0,0,4031,1696
19:00:00,0.3,1,545244,1877,0,0,1,0,4031,1696
19:00:10,0.8,1,549380,1877,0,0,1,1,4031,1696
19:00:20,0.5,1,548588,1877,0,0,0,0,4031,1696
19:00:30,0.3,1,547796,1877,0,0,0,0,4031,1696
19:00:40,0.2,1,546996,1877,0,0,0,0,4031,1696
19:00:50,0.5,1,546052,1877,0,0,1,0,4031,1696
19:01:00,0.3,1,545244,1877,0,0,0,0,4031,1696
19:01:10,1.0,1,549372,1877,0,0,0,0,4031,1696
19:01:20,0.4,1,548572,1877,0,0,2,0,4031,1696
19:01:30,0.3,1,547780,1877,0,0,0,0,4031,1696
19:01:40,0.3,1,546848,1877,0,0,0,0,4031,1696
19:01:50,0.3,1,546040,1877,0,0,0,0,4031,1696
19:02:00,0.4,1,545220,1877,0,0,1,0,4031,1696
19:02:10,0.9,1,549216,1877,0,0,0,0,4031,1696
19:02:20,0.3,1,548548,1877,0,0,1,0,4031,1696
19:02:30,0.4,1,547756,1877,0,0,1,0,4031,1696
19:02:40,0.4,1,546964,1877,0,0,0,0,4031,1696
19:02:50,0.3,1,546036,1877,0,0,1,0,4031,1696
19:03:00,0.5,1,545220,1877,0,0,1,0,4031,1696
19:03:10,0.7,1,549324,1877,72,0,1,0,4031,1696
19:03:20,0.3,1,548532,1877,0,0,1,0,4031,1696
19:03:30,0.5,1,547740,1877,0,0,0,0,4031,1696
19:03:40,0.3,1,546944,1877,0,0,0,0,4031,1696
19:03:50,0.3,1,546020,1877,0,0,0,0,4031,1696
19:04:00,0.5,1,545204,1877,0,0,1,0,4031,1696
19:04:10,0.6,1,549196,1877,0,0,0,0,4031,1696
19:04:20,0.4,1,548532,1877,0,0,1,0,4031,1696
19:04:30,0.4,1,547740,1877,0,0,0,0,4031,1696
19:04:40,0.3,1,546940,1877,0,0,1,0,4031,1696
19:04:50,0.3,1,546020,1877,0,0,0,0,4031,1696
19:05:00,0.4,1,545192,1877,0,0,0,0,4031,1696
19:05:10,0.7,1,549188,1877,0,0,0,0,4031,1696
19:05:20,0.5,1,548512,1877,0,0,0,0,4031,1696
19:05:30,0.2,1,547724,1877,0,0,0,0,4031,1696
19:05:40,0.4,1,546932,1877,0,0,0,0,4031,1696
19:05:50,0.3,1,546124,1877,0,0,0,0,4031,1696
19:06:00,0.3,1,545208,1877,0,0,0,0,4031,1696
19:06:10,0.8,1,549048,1877,0,0,0,0,4031,1696
19:06:20,0.5,1,548504,1877,0,0,0,0,4031,1696
19:06:30,0.3,1,547708,1877,0,0,0,0,4031,1696
19:06:40,0.6,1,546908,1877,0,0,0,0,4031,1696
19:06:50,0.3,1,546116,1877,0,0,0,0,4031,1696
19:07:00,0.4,1,545172,1877,0,0,0,0,4031,1696
19:07:10,0.7,1,549292,1877,0,0,1,0,4031,1696
19:07:20,0.4,1,548516,1877,0,0,0,0,4031,1696
19:07:30,0.3,1,547716,1877,0,0,0,0,4031,1696
19:07:40,0.5,1,546900,1877,48,0,0,0,4031,1696
19:07:50,0.3,1,546096,1877,0,0,0,0,4031,1696
19:08:00,0.4,1,545168,1877,0,0,1,0,4031,1696
19:08:10,0.8,1,549412,1877,0,0,0,0,4031,1696
19:08:20,0.3,1,548496,1877,0,0,0,0,4031,1696
19:08:30,0.3,1,546696,1877,0,0,0,0,4031,1696
19:08:40,0.3,1,545884,1877,0,0,1,0,4031,1696
19:08:50,0.3,1,544968,1877,0,0,1,0,4031,1696
19:09:00,0.5,1,544152,1877,0,0,0,0,4031,1696
19:09:10,0.9,1,548136,1877,0,0,0,0,4031,1696
19:09:20,0.2,1,547472,1877,0,0,1,0,4031,1696
19:09:30,0.6,1,547316,1877,0,0,0,0,4031,1696
19:09:40,0.3,1,546888,1877,0,0,0,0,4031,1696
19:09:50,0.4,1,546092,1877,0,0,0,0,4031,1696
19:10:00,0.4,1,545292,1877,0,0,0,0,4031,1696
19:10:10,0.8,1,549400,1877,0,0,1,0,4031,1696
19:10:20,0.4,1,548608,1877,0,0,0,0,4031,1696
19:10:30,0.2,1,547808,1877,0,0,0,0,4031,1696
19:10:40,0.5,1,546892,1877,0,0,0,0,4031,1696
19:10:50,0.3,1,546100,1877,0,0,0,0,4031,1696
19:11:00,0.4,1,545276,1877,0,0,0,0,4031,1696
19:11:10,0.7,1,549264,1877,0,0,0,0,4031,1696
19:11:20,0.3,1,548596,1877,0,0,0,0,4031,1696
19:11:30,0.4,1,547796,1877,0,0,1,0,4031,1696
19:11:40,0.3,1,546876,1877,48,0,0,0,4031,1696
19:11:50,0.5,1,546080,1877,0,0,1,0,4031,1696
19:12:00,0.4,1,545272,1877,0,0,1,0,4031,1696
19:12:10,0.7,1,549252,1877,0,0,0,0,4031,1696
19:12:20,0.4,1,548584,1877,0,0,0,0,4031,1696
19:12:30,0.3,1,547784,1877,0,0,1,0,4031,1696
19:12:40,0.4,1,546860,1877,0,0,0,0,4031,1696
19:12:50,0.3,1,546068,1877,0,0,0,0,4031,1696
19:13:00,0.5,1,545268,1877,0,0,1,0,4031,1696
19:13:10,0.8,1,548988,1877,0,0,1,0,4031,1696
19:13:20,0.2,1,548564,1877,0,0,0,0,4031,1696
19:13:30,0.5,1,547772,1877,0,0,0,0,4031,1696
19:13:40,0.3,1,546848,1877,0,0,1,0,4031,1696
19:13:50,0.4,1,546052,1877,0,0,0,0,4031,1696
19:14:00,0.3,1,545252,1877,0,0,1,0,4031,1696
19:14:10,0.7,1,549352,1877,0,0,0,0,4031,1696
19:14:20,0.4,1,548548,1877,0,0,1,0,4031,1696
19:14:30,0.2,1,547756,1877,0,0,0,0,4031,1696
19:14:40,0.4,1,546964,1877,0,0,0,0,4031,1696
19:14:50,0.3,1,546048,1877,0,0,0,0,4031,1696
19:15:00,0.4,1,545236,1877,0,0,0,0,4031,1696
19:15:10,0.8,1,549092,1877,0,0,0,0,4031,1696
19:15:20,0.2,1,548548,1877,0,0,0,0,4031,1696
19:15:30,0.4,1,547756,1877,0,0,0,0,4031,1696
19:15:40,0.3,1,546964,1877,0,0,1,0,4031,1696
19:15:50,0.4,1,546164,1877,0,0,0,0,4031,1696
19:16:00,0.3,1,545248,1877,0,0,0,0,4031,1696
19:16:10,0.9,1,548964,1877,0,0,0,0,4031,1696
19:16:20,0.3,1,548544,1877,0,0,0,0,4031,1696
19:16:30,0.3,1,547752,1877,0,0,1,0,4031,1696
19:16:40,0.5,1,546956,1877,0,0,0,0,4031,1696
19:16:50,0.4,1,546040,1877,0,0,1,0,4031,1696
19:17:00,0.3,1,545224,1877,0,0,0,0,4031,1696
19:17:10,0.8,1,548956,1877,0,0,0,0,4031,1696
19:17:20,0.4,1,548536,1877,0,0,0,0,4031,1696
19:17:30,0.4,1,547744,1877,0,0,0,0,4031,1696
19:17:40,0.3,1,546952,1877,0,0,0,0,4031,1696
19:17:50,0.3,1,546020,1877,0,0,0,0,4031,1696
19:18:00,0.3,1,545228,1877,0,0,1,0,4031,1696
19:18:10,0.8,1,548952,1877,0,0,1,0,4031,1696
19:18:20,0.3,1,548520,1877,0,0,1,0,4031,1696
19:18:30,0.4,1,547728,1877,48,0,0,0,4031,1696
19:18:40,0.3,1,546936,1877,0,0,0,0,4031,1696
19:18:50,0.4,1,546144,1877,0,0,1,0,4031,1696
19:19:00,0.4,1,545212,1877,0,0,1,0,4031,1696
19:19:10,0.8,1,549192,1877,0,0,0,0,4031,1696
19:19:20,0.5,1,548524,1877,0,0,0,0,4031,1696
19:19:30,0.3,1,547732,1877,0,0,0,0,4031,1696
19:19:40,0.3,1,546940,1877,0,0,1,0,4031,1696
19:19:50,0.2,1,546140,1877,0,0,1,0,4031,1696
19:20:00,0.4,1,545220,1877,0,0,1,0,4031,1696
19:20:10,0.9,1,549460,1877,0,0,1,0,4031,1696
19:20:20,0.4,1,548668,1877,0,0,0,0,4031,1696
19:20:30,0.4,1,547748,1877,0,0,0,0,4031,1696
19:20:40,0.4,1,546948,1877,0,0,0,0,4031,1696
19:20:50,0.2,1,546148,1877,0,0,1,0,4031,1696
19:21:00,0.5,1,545192,1877,0,0,1,0,4031,1696
19:21:10,0.8,1,549296,1877,0,0,0,0,4031,1696
19:21:20,0.4,1,548504,1877,0,0,0,0,4031,1696
19:21:30,0.5,1,547712,1877,0,0,1,0,4031,1696
19:21:40,0.4,1,546916,1877,0,0,0,0,4031,1696
19:21:50,0.3,1,546116,1877,0,0,0,0,4031,1696
19:22:00,0.4,1,545308,1877,0,0,1,0,4031,1696
19:22:10,0.9,1,549032,1877,0,0,0,0,4031,1696
19:22:20,0.4,1,548612,1877,0,0,0,0,4031,1696
19:22:30,0.4,1,547696,1877,48,0,1,0,4031,1696
19:22:40,0.3,1,546896,1877,0,0,0,0,4031,1696
19:22:50,0.3,1,546096,1877,0,0,0,0,4031,1696
19:23:00,0.3,1,545292,1877,0,0,0,0,4031,1696
19:23:10,0.8,1,549280,1877,0,0,0,0,4031,1696
19:23:20,0.5,1,548604,1877,0,0,0,0,4031,1696
19:23:30,0.4,1,547808,1877,0,0,0,0,4031,1696
19:23:40,0.2,1,546896,1877,0,0,0,0,4031,1696
19:23:50,0.4,1,546096,1877,0,0,0,0,4031,1696
19:24:00,0.3,1,545288,1877,0,0,1,0,4031,1696
19:24:10,0.7,1,549140,1877,0,0,1,0,4031,1696
19:24:20,0.4,1,548600,1877,0,0,0,0,4031,1696
19:24:30,0.3,1,547804,1877,0,0,1,0,4031,1696
19:24:40,0.4,1,546884,1877,0,0,1,0,4031,1696
19:24:50,0.3,1,546084,1877,0,0,0,0,4031,1696
19:25:00,0.4,1,545276,1877,0,0,0,0,4031,1696
19:25:10,0.8,1,549264,1877,0,0,0,0,4031,1696
19:25:20,0.4,1,548596,1877,0,0,0,0,4031,1696
19:25:30,0.4,1,547804,1877,0,0,0,0,4031,1696
19:25:40,0.3,1,546880,1877,0,0,1,0,4031,1696
19:25:50,0.4,1,546080,1877,0,0,0,0,4031,1696
19:26:00,0.5,1,545280,1877,0,0,0,0,4031,1696
19:26:10,0.7,1,549000,1877,0,0,0,0,4031,1696
19:26:20,0.3,1,548580,1877,0,0,1,0,4031,1696
19:26:30,0.4,1,547788,1877,0,0,1,0,4031,1696
19:26:40,0.3,1,546864,1877,0,0,1,0,4031,1696
19:26:50,0.5,1,546064,1877,0,0,0,0,4031,1696
19:27:00,0.4,1,545264,1877,0,0,0,0,4031,1696
19:27:10,0.8,1,549368,1877,0,0,0,0,4031,1696
19:27:20,0.4,1,548576,1877,0,0,1,0,4031,1696
19:27:30,0.3,1,547784,1877,0,0,0,0,4031,1696
19:27:40,0.3,1,546868,1877,0,0,0,0,4031,1696
19:27:50,0.3,1,546068,1877,0,0,0,0,4031,1696
19:28:00,0.5,1,545264,1877,0,0,0,0,4031,1696
19:28:10,0.8,1,549360,1877,0,0,1,0,4031,1696
19:28:20,0.4,1,548568,1877,0,0,0,0,4031,1696
